name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths
Player 1,684,27011,1.0667430196,18,177,10,110,98332,1366,5113,2.3231292517,588,6063,305319,3932335,255.6720351391,403651,25321
Player 2,4,162,0.6328125,4,6,2,0,568,8,35,2,4,68,4836,24485,265.5,5404,256
Player 3,186,1898,0.5696278511,13,37,7,2,5111,550,485,3.6666666667,150,488,39978,458269,180.3796363636,45089,3332
Player 4,741,21803,1.0366584253,26,185,29,111,81361,2442,3894,2.8263888889,864,4029,327230,4269370,198.8442260442,408591,21032
Player 5,26,349,0.4440203562,7,12,4,0,996,44,40,2.9333333333,15,138,4844,72765,253.6772727273,5840,786
Player 6,188,1949,1.4957789716,22,53,4,57,3333,409,536,16.36,25,150,10511,909543,38.6303178484,13844,1303
Player 7,15,132,0.6315789474,7,5,4,0,549,21,25,3.5,6,31,3153,18430,199.7428571429,3702,209
Player 8,207,3452,0.6977966444,10,40,9,110,16134,378,535,2.9302325581,129,811,104881,530615,266.0142857143,121015,4947
Player 9,106,3284,0.946125036,17,41,11,12,11772,255,501,1.9921875,128,532,49715,543830,278.6447058824,61487,3471
Player 10,1592,15033,0.7803270179,17,156,13,111,49680,3247,2367,3.0545625588,1063,2099,247686,3018769,230.4303048968,297366,19265
Player 11,190,3033,1.00999001,13,37,8,110,9846,421,489,2.5209580838,167,583,42460,458078,152.7306413302,52306,3003
Player 12,605,7764,0.8532805803,14,63,8,111,32602,1153,1549,2.6384439359,437,1106,125227,1050069,281.4359063313,157829,9099
Player 13,35,900,0.9394572025,12,19,5,6,3078,71,197,2.2903225806,31,149,10257,149095,300.0169014085,13335,958
Player 14,51,603,0.6947004608,11,12,5,0,2483,92,102,2.6285714286,35,94,9874,66675,197.3217391304,12357,868
Player 15,42,1233,0.9397865854,9,24,7,39,2711,78,296,2.4375,32,197,7274,211625,306.6769230769,9985,1312
Player 16,349,9899,1.3999434309,13,238,10,112,14482,1621,2062,9.6488095238,168,1016,62300,6541499,51.6273904997,76782,7071
Player 17,59,1041,0.7149725275,8,20,5,0,4335,99,169,2.9117647059,34,281,18216,158915,250.2909090909,22551,1456
Player 18,81,2041,1.1459854015,14,29,9,21,7265,169,324,2.0119047619,84,481,28320,301903,266.3857988166,35585,1781
Player 19,7,118,0.9833333333,6,4,6,0,314,21,19,1.5,14,9,1311,13255,237.1142857143,1625,120
Player 20,21,363,0.7303822938,9,11,4,5,767,33,65,3.6666666667,9,49,6360,58550,327.9090909091,7127,497
Player 21,80,1213,0.6472785486,9,27,7,22,4132,246,196,5.125,48,302,23006,264685,185.6634146341,27138,1874
Player 22,152,4753,1.0245742617,11,44,6,7,21934,320,661,2.3021582734,139,948,95160,632675,330.991875,117094,4639
Player 23,20,1848,0.7091327705,8,74,3,110,1126,840,247,49.4117647059,17,255,4332,1166785,11.5364285714,5458,2606
Player 24,642,10577,0.8512676056,14,144,13,14,36028,1182,1585,3.7169811321,318,2187,147179,2557627,172.8086294416,183207,12425
Player 25,57,2155,0.906986532,10,31,7,2,8138,131,489,2.1475409836,61,915,53259,325420,226.9053435115,61397,2376
Player 26,0,121,1.21,0,18,1,32,0,47,20,47,0,0,0,136800,0,0,100
Player 27,23,414,0.5447368421,8,12,5,0,904,41,37,2.5625,16,53,5295,73333,256.4487804878,6199,760
Player 28,536,1081,0.6103896104,9,42,4,3,2412,585,136,22.5,26,227,13905,586700,24.6984615385,16317,1771
Player 29,127,3423,1.0670199501,11,63,7,110,8627,491,519,4.91,100,676,31069,1048199,98.7054989817,39696,3208
Player 30,244,7783,0.9035291386,22,105,8,111,23349,837,1490,4.702247191,178,1655,90714,1616838,123.623655914,114063,8614
Player 31,74,880,0.8888888889,8,35,5,110,1549,232,121,13.6470588235,17,168,14118,414294,42.0077586207,15667,990
Player 32,51,2886,1.0208701804,15,38,6,100,5588,109,384,2.0566037736,53,588,25751,481328,223.4752293578,31339,2827
Player 33,0,569,1.0197132616,0,46,9,111,0,248,171,248,0,89,0,683155,0,0,558
Player 34,17,596,0.8198074278,13,15,6,0,1996,39,96,2.0526315789,19,152,8578,96234,259.6153846154,10574,727
Player 35,40,195,0.5718475073,6,12,4,44,796,51,34,5.1,10,44,3672,69095,111.2941176471,4468,341
Player 36,24,220,0.7457627119,5,14,4,9,710,53,50,6.625,8,33,2968,90214,75,3678,295
Player 37,136,4987,1.097249725,16,44,6,46,18548,301,1027,2.197080292,137,1189,69686,638080,323.5495016611,88234,4545
Player 38,108,2837,0.9323036477,10,80,8,111,8535,659,485,9.8358208955,67,598,31407,1248840,50.4701062215,39942,3043
Player 39,150,3874,0.9362010633,12,42,7,27,15214,294,761,2.2442748092,131,870,59960,563625,236.3183673469,75174,4138
Player 40,1,28,0.875,6,1,2,0,105,3,9,1.5,2,2,602,3050,319.8,707,32
Player 41,101,2750,0.7452574526,10,38,8,110,10051,258,528,2.031496063,127,809,43844,481785,267.8790697674,53895,3690
Player 42,504,12870,1.2639952858,20,141,28,26,21774,1245,2569,1.9544740973,637,1506,62751,2470760,295.4674698795,84525,10182
Player 43,601,12340,0.8902034338,15,171,13,111,41563,1923,1857,5.1832884097,371,2639,201235,3663457,128.0012480499,242798,13862
Player 44,225,7244,0.8992055611,12,128,6,111,22968,996,1065,3.7443609023,266,1871,93118,2118714,143.0692771084,116086,8056
Player 45,1,25,0.3731343284,2,4,1,110,56,24,3,24,1,6,344,16025,29.375,400,67
Player 46,35,656,0.6693877551,6,42,5,110,1358,286,143,17.875,16,91,5593,566898,30.986013986,6951,980
Player 47,251,5540,0.9494430163,14,54,10,110,18655,581,1002,3.0418848168,191,1363,85552,952848,187.7917383821,104207,5835
Player 48,115,2047,1.1315644002,25,111,3,111,228,901,561,128.7142857143,7,93,883,1727785,4.3211986681,1111,1809
Player 49,758,21133,1.0432958136,15,188,15,58,54961,1791,3649,3.6776180698,487,3581,181316,4385790,138.6797319933,236277,20256
Player 50,230,3200,0.9403467529,12,40,18,61,12185,499,565,2.0534979424,243,662,40768,524931,168.0637274549,52953,3403
Player 51,283,5604,1.0486526946,13,70,10,111,8397,751,687,3.5424528302,212,379,38636,1124008,190.2687083888,47033,5344
Player 52,2,37,0.6727272727,4,3,1,0,103,13,9,6.5,2,3,591,9805,101.4461538462,694,55
Player 53,34,1134,1.0161290323,9,22,6,3,4485,72,197,2.4827586207,29,313,18171,179015,258.8666666667,22656,1116
Player 54,70,1766,0.9270341207,15,26,5,13,6090,123,360,3.3243243243,37,290,23058,243695,272.9512195122,29148,1905
Player 55,724,32052,0.9683383686,20,252,9,112,52056,2802,4250,4.0786026201,687,3938,336446,7132415,157.9614561028,388502,33100
Player 56,44,896,0.6824067022,0,67,5,111,0,620,165,620,0,163,26,1087467,0.0503225806,26,1313
Player 57,93,2732,0.9687943262,13,33,5,3,8282,198,389,3.6666666667,54,770,27154,379143,200.696969697,35436,2820
Player 58,655,14541,1.0652747253,20,142,28,111,38665,1841,2832,1.8465396189,997,3002,184373,2484795,150.4011950027,223038,13650
Player 59,12,362,1.0678466077,7,12,2,11,1626,31,46,3.875,8,90,6839,66090,195.1935483871,8465,339
Player 60,30,113,0.1348448687,5,8,4,0,400,100,18,3.3333333333,30,69,11685,40990,271.776,12085,838
Player 61,2,279,1.0608365019,10,12,11,110,938,34,67,2.2666666667,15,77,3158,72420,152.4176470588,4096,263
Player 62,74,1172,0.9323786794,12,32,7,31,3775,211,177,6.0285714286,35,221,19125,348521,96.2417061611,22900,1257
Player 63,29,211,0.9094827586,8,13,2,3,525,33,57,8.25,4,42,4078,77086,72.9272727273,4603,232
Player 64,157,2917,0.8847437064,12,32,6,37,6900,314,358,2.1958041958,143,519,19882,347760,189.6171974522,26782,3297
Player 65,0,150,0.9868421053,0,21,2,110,0,67,34,67,0,54,0,171290,0,0,152
Player 66,25,398,0.63476874,7,16,10,110,1024,119,53,6.2631578947,19,81,3677,112483,83.3798319328,4701,627
Player 67,104,1546,0.8503850385,15,25,6,110,5003,178,365,2.9180327869,61,220,16385,228695,221.0966292135,21388,1818
Player 68,99,3131,1.4408651634,22,37,7,14,12248,253,430,2.7204301075,93,530,46366,464210,176.9786561265,58614,2173
Player 69,929,28873,0.9170398603,14,202,8,69,104830,2130,3666,2.54784689,836,6878,453158,4996179,224.0509859155,557988,31485
Player 70,212,4581,0.8455149502,14,51,14,62,16826,498,722,2.6774193548,186,1117,66674,819607,208.4313253012,83500,5418
Player 71,382,9950,0.914185961,15,149,7,110,27603,1122,1861,5.4731707317,205,2192,139366,2742180,118.6577540107,166969,10884
Player 72,19,338,0.8871391076,7,10,2,0,1459,28,41,3.1111111111,9,60,5546,52525,335.4642857143,7005,381
Player 73,578,5218,1.0469502408,15,79,13,110,17957,899,1237,3.7932489451,237,750,77925,1228362,166.5911012236,95882,4984
Player 74,0,2,0.1818181818,0,1,1,0,0,5,1,5,1,0,6,1925,14.04,6,11
Player 75,159,245,0.5593607306,9,16,2,4,308,175,38,17.5,10,23,1558,105145,76.8891428571,1866,438
Player 76,10,918,1.184516129,13,29,5,110,688,176,162,6.7692307692,26,107,3224,290265,65.2670454545,3912,775
Player 77,223,5228,0.8627062706,11,50,11,110,21030,491,886,2.3492822967,209,1025,91560,805992,261.1026476578,112590,6060
Player 78,35,210,0.8641975309,14,16,3,2,427,59,50,4.2142857143,14,39,4124,106999,154.2203389831,4551,243
Player 79,144,4986,0.871525957,13,53,8,110,7106,465,656,3.75,124,701,47393,912251,179.5974193548,54499,5721
Player 80,251,5010,0.7534967664,12,55,9,18,13895,458,860,3.0131578947,152,1167,65429,958745,235.6598253275,79324,6649
Player 81,0,219,0.85546875,0,26,4,111,0,112,45,112,0,161,0,250563,0,0,256
Player 82,242,3309,0.5991309071,8,41,7,1,12718,458,556,2.2786069652,201,794,68553,543183,271.8917030568,81271,5523
Player 83,85,1101,0.5113794705,8,23,5,13,3641,167,167,2.2567567568,74,280,30710,205628,413.3461077844,34351,2153
Player 84,461,15605,0.9932531347,14,130,17,43,37743,941,2500,2.3177339901,406,1976,161683,2161843,240.3787460149,199426,15711
Player 85,0,4016,1.1192865106,5,141,2,110,138,1070,876,267.5,4,72,1628,2457086,1.2302803738,1766,3588
Player 86,1824,34198,1.1147038691,27,287,13,110,73630,3050,5025,3.8413098237,794,4501,250976,8658231,161.6075409836,324606,30679
Player 87,2,1732,1.1977869986,6,115,3,111,176,728,284,728,0,133,571,1811950,0.717032967,747,1446
Player 88,10,111,0.5634517766,4,7,1,110,325,37,16,18.5,2,21,1581,29512,53.7243243243,1906,197
Player 89,927,38924,0.821822942,11,229,17,51,137200,2157,6423,2.086073501,1034,11229,606043,6137667,270.366620306,743243,47363
Player 90,12,277,0.8496932515,9,10,4,15,1268,24,60,2.1818181818,11,87,7689,50070,235.575,8957,326
Player 91,1364,25522,0.9276342093,20,167,16,44,49395,2447,3596,2.7556306306,888,3754,236412,3494579,235.2767470372,285807,27513
Player 92,22,156,0.6638297872,5,5,8,0,574,35,32,3.1818181818,11,20,2611,20975,271.1828571429,3185,235
Player 93,180,1390,1.0072463768,11,32,10,24,4887,284,245,3.55,80,200,22808,346200,163.311971831,27695,1380
Player 94,0,46,0.7540983607,0,8,1,111,0,28,12,28,0,35,0,40475,0,0,61
Player 95,600,20882,1.12784229,18,151,10,18,68830,1251,4617,2.4291262136,515,4074,288602,2808958,327.7601918465,357432,18515
Player 96,1,2094,0.9966682532,8,137,7,111,52,1035,530,1035,1,149,215,2333684,0.5675362319,267,2101
Player 97,151,2307,0.7169049099,12,39,7,111,4658,378,357,4.725,80,462,36388,492833,131.4412698413,41046,3218
Player 98,0,0,0,0,1,1,110,0,1,0,1,0,0,0,100,0,0,1
Player 99,283,9272,0.9055571833,10,98,6,111,33173,644,2106,3.0377358491,212,2167,119983,1496093,199.9844720497,153156,10239
Player 100,3,57,2.28,4,9,1,0,68,10,11,10,1,3,216,43250,33.48,284,25
Player 101,66,8595,1.3352493398,14,175,11,111,8542,1103,1459,8.2313432836,134,977,40308,3847456,53.6534904805,48850,6437
Player 102,0,178,0.485013624,0,23,4,111,0,178,37,178,0,111,0,203895,0,0,367
Player 103,264,10469,1.1862889518,15,115,16,110,21840,726,1505,2.75,264,1120,93548,1818399,219.4074380165,115388,8825
Player 104,188,2469,0.9010948905,12,122,41,111,19947,1230,995,24.1176470588,51,1311,51705,1972576,69.4526829268,71652,2740
Player 105,136,3161,1.1399206635,10,40,8,6,10014,310,602,2.7678571429,112,589,32049,536323,169.2638709677,42063,2773
Player 106,24,704,0.9361702128,7,35,3,110,1023,227,145,20.6363636364,11,156,4069,409901,30.4387665198,5092,752
Player 107,16,1531,0.7300906056,0,74,1,111,0,714,367,714,0,392,0,1168069,0.0731092437,0,2097
Player 108,5,223,0.9176954733,11,7,1,0,634,11,46,3.6666666667,3,56,2913,32430,168.7636363636,3547,243
Player 109,207,1484,1.175911252,8,55,4,110,2828,367,261,11.1212121212,33,208,12448,957331,37.114986376,15276,1262
Player 110,166,6804,0.9922706723,13,58,12,13,28605,376,1144,2.0888888889,180,1551,142067,994512,318.0255319149,170672,6857
Player 111,79,159,0.7293577982,0,22,1,11,0,101,39,101,1,0,0,180065,0,0,218
Player 112,38,903,0.5948616601,8,18,6,0,2552,73,131,2.6071428571,28,301,12157,133840,238.8575342466,14709,1518
Player 113,165,2833,0.8041441953,9,48,10,110,6910,526,437,6.4938271605,81,491,22206,754824,88.8558935361,29116,3523
Player 114,498,13231,1.1340533128,20,112,12,45,51676,943,2421,2.3873417722,395,2523,247292,1751190,268.8178154825,298968,11667
Player 115,1,11,0.2682926829,3,1,1,0,28,3,1,3,1,3,291,1975,413.8,319,41
Player 116,1204,40392,1.0762876709,19,262,15,111,123862,3310,5351,2.8534482759,1160,5979,498485,7549448,196.6225377644,622347,37529
Player 117,20,597,0.7434620174,9,16,3,1,1616,57,118,3,19,115,7236,109015,220.4526315789,8852,803
Player 118,20,958,1.0585635359,10,19,8,11,4219,55,131,1.6666666667,33,169,12338,146275,266.52,16557,905
Player 119,10,322,1.0627062706,9,10,3,0,1323,20,55,2.8571428571,7,56,5549,53845,298.89,6872,303
Player 120,60,856,0.8925964546,8,18,6,0,2224,89,144,3.7083333333,24,224,10723,128090,216.4179775281,12947,959
Player 121,420,17776,0.8885778555,20,234,16,111,41810,2469,3715,6.3307692308,390,4311,119317,6368199,80.4320777643,161127,20005
Player 122,2282,38200,1.1497020406,13,331,16,111,51440,6425,4707,2.974537037,2160,6259,354971,10525046,199.7972918288,406411,33226
Player 123,0,0,0,0,1,1,0,1,1,0,1,1,0,303,0,316.2,304,7
Player 124,125,1281,1.2028169014,10,33,7,110,1800,221,284,8.84,25,138,7476,376610,78.0271493213,9276,1065
Player 125,0,142,0.6454545455,0,17,1,110,0,88,32,88,0,14,0,124220,0,0,220
Player 126,14,80,0.4819277108,3,10,1,110,22,65,7,65,0,9,205,54580,9.6369230769,227,166
Player 127,20,215,0.9307359307,4,15,3,111,152,54,32,9,6,45,2669,97891,72.8111111111,2821,231
Player 128,298,8194,1.1946347864,14,127,11,110,28770,1001,1728,4.0857142857,245,1535,113984,2094395,131.1764235764,142754,6859
Player 129,248,3106,1.0260984473,11,74,8,111,8555,752,554,7.3725490196,102,458,39735,1173596,67.4513297872,48290,3027
Player 130,236,7890,1.0861784141,179,89,16,111,26315,588,1521,2.94,200,1505,82542,1359204,150.8989795918,108857,7264
Player 131,480,7071,1.0011326632,9,193,9,113,10937,2114,1091,6.908496732,306,840,54059,4624692,61.2048249763,64996,7063
Player 132,0,7,0.1794871795,0,2,1,110,0,15,2,15,0,16,0,5725,0,0,39
Player 133,8,898,0.9604278075,4,38,2,110,234,219,194,54.75,4,114,1468,467695,20.0876712329,1702,935
Player 134,4,48,0.5106382979,3,2,3,0,177,8,8,2,4,22,719,6395,299.625,896,94
Player 135,4,101,0.8487394958,9,5,2,0,398,21,16,3.5,6,22,2562,17930,204.8857142857,2960,119
Player 136,1,75,0.7281553398,4,4,2,0,304,6,13,2,3,28,1873,14565,245.5,2177,103
Player 137,145,5894,1.4070183815,14,57,14,111,23155,438,1165,1.9295154185,227,990,68422,979910,259.9616438356,91577,4189
Player 138,569,8190,0.8159808708,22,77,8,111,18098,1153,1936,2.5968468468,444,1222,95358,1208283,169.3045967043,113456,10037
Player 139,5,72,0.5901639344,3,3,4,0,324,10,15,2.5,4,14,1490,9500,284.82,1814,122
Player 140,876,24800,1.0097308742,15,200,11,111,59279,2200,4500,4.1666666667,528,4293,209342,4891954,152.2704545455,268621,24561
Player 141,732,8588,0.7723021583,20,140,30,110,22923,2092,1504,4.2262626263,495,1479,140593,2421272,141.3854684512,163516,11120
Player 142,68,659,0.9969742814,10,13,11,0,2110,136,132,2.1587301587,63,112,3834,75485,96.6485294118,5944,661
Player 143,290,2471,0.9724517906,2,165,8,111,26,1288,453,644,2,248,183,3402320,0.1956521739,209,2541
Player 144,122,1336,0.7863449088,6,93,3,111,509,711,257,177.75,4,159,2224,1419225,4.2919831224,2733,1699
Player 145,167,3531,1.2991169978,13,144,6,111,4388,814,707,30.1481481481,27,358,15925,2551675,26.8673218673,20313,2718
Player 146,71,1865,0.9718603439,14,26,6,9,7688,143,352,2.1029411765,68,360,41094,245589,304.2755244755,48782,1919
Player 147,957,11005,0.8347239078,14,106,12,110,43102,1718,1164,2.9317406143,586,2158,171554,1635362,311.2791618161,214656,13184
Player 148,211,7019,1.3183696469,17,137,9,110,10934,973,1418,5.896969697,165,851,51259,2331004,86.7274409044,62193,5324
Player 149,366,7393,0.9336953776,13,86,14,110,12335,694,1198,3.4874371859,199,1357,93984,1320682,183.8282420749,106319,7918
Player 150,5,585,0.9256329114,2,30,2,10,38,124,72,124,0,3,298,321698,2.5887096774,336,632
Player 151,510,16556,0.9088214305,15,146,14,110,54532,1239,2956,2.0547263682,603,3336,258710,2637626,259.8489104116,313242,18217
Player 152,284,5682,0.7518856689,11,53,18,4,28963,711,1558,4.1098265896,173,1683,106422,891850,250.3831223629,135385,7557
Player 153,7,47,0.2716763006,4,3,1,0,210,12,8,2.4,5,35,2069,9510,322.5,2279,173
Player 154,3519,59563,0.8773715531,19,297,20,111,200845,7479,7638,1.9970627503,3745,12300,965775,9062157,330.6162053751,1166620,67888
Player 155,22,4604,1.0199379708,8,169,4,111,1274,1473,984,147.3,10,675,6570,3560797,5.100610998,7844,4514
Player 156,39,433,1.0188235294,8,13,4,110,1325,68,76,4.5333333333,15,55,6036,81476,120.7852941176,7361,425
Player 157,507,10074,0.870624838,11,87,9,110,17239,886,1872,3.5298804781,251,1174,62795,1342331,225.4740406321,80034,11571
Player 158,339,7740,0.8652878703,11,172,5,111,3129,1852,1582,24.0519480519,77,703,28418,3717052,23.0099352052,31403,8945
Player 159,24,364,1.0581395349,11,10,4,0,484,47,49,3.9166666667,12,24,2353,51755,312.2808510638,2837,344
Player 160,607,12131,0.8950785804,11,177,8,111,32107,1883,1831,6.8722627737,274,2014,172202,3930717,103.3322357939,204309,13553
Player 161,337,3586,0.7321355655,10,50,10,111,10674,801,544,3.6409090909,220,555,47004,804201,148.3078651685,57678,4898
Player 162,174,3656,0.9158316633,15,40,9,110,14473,436,779,2.4914285714,175,703,85861,522714,230.054587156,100334,3992
Player 163,0,119,0.6574585635,0,12,1,110,0,68,20,68,0,55,0,69060,0,0,181
Player 164,0,26,0.2921348315,0,3,1,110,0,22,4,22,0,15,0,10812,0,0,89
Player 165,4,501,0.8253706755,5,42,4,63,390,222,74,44.4,5,27,2015,572800,9.3081081081,2405,607
Player 166,74,533,0.6345238095,6,23,7,21,2315,95,111,4.75,20,174,15924,196810,109.0736842105,18239,840
Player 167,545,10744,0.9312646269,17,104,50,110,39418,1117,1844,2.5386363636,440,2111,167626,1596192,252.0053715309,207044,11537
Player 168,7,165,0.7932692308,5,7,1,13,598,11,32,3.6666666667,3,58,2523,29390,301.3090909091,3121,208
Player 169,421,1445,0.7665782493,9,51,6,110,1406,637,363,22.75,28,120,7274,851230,31.9403453689,8680,1885
Player 170,83,2266,0.877274487,16,51,6,111,7233,452,383,10.511627907,43,653,28039,822030,77.5221238938,35272,2583
Player 171,6,102,0.4951456311,4,8,4,110,196,34,19,4.25,8,21,1841,35423,143.2588235294,2037,206
Player 172,0,97,0.9238095238,0,13,4,111,0,57,17,57,0,84,0,79065,0,0,105
Player 173,711,13564,1.0239299464,13,121,12,110,49050,1208,2062,2.8899521531,418,3240,222905,1933309,234.9973509934,271955,13247
Player 174,3,260,1.0970464135,7,13,2,6,503,47,67,11.75,4,22,3164,77606,47.5021276596,3667,237
Player 175,128,4030,1.0894836442,16,40,14,110,14841,324,564,2.25,144,794,51860,529240,228.5444444444,66701,3699
Player 176,72,3324,1.0243451464,13,42,8,110,10945,198,497,1.9038461538,104,747,49725,566185,318.4848484848,60670,3245
Player 177,284,9758,0.8368064488,12,101,9,111,27691,689,1883,2.4346289753,283,2403,119360,1549395,254.3660377358,147051,11661
Player 178,39,1600,0.956937799,8,44,5,38,4284,274,303,6.5238095238,42,291,20492,630908,90.2058394161,24776,1672
Player 179,0,35,0.7954545455,0,6,1,111,0,25,4,25,0,17,0,26500,0,0,44
Player 180,5,30,0.2777777778,2,2,1,110,127,7,1,7,1,10,1955,6110,290.0571428571,2082,108
Player 181,32,289,0.3155021834,4,9,3,0,665,46,58,3.5384615385,13,47,4468,42120,289.5782608696,5133,916
Player 182,94,4335,1.3466915191,19,41,14,40,18914,275,770,1.8835616438,146,867,72972,537835,267.5672727273,91886,3219
Player 183,2,10,0.5882352941,3,1,1,0,16,4,2,4,1,1,25,1075,55.2,41,17
Player 184,2,16,0.4571428571,3,1,1,0,69,3,2,3,1,8,497,2125,230.8,566,35
Player 185,94,2518,0.8740020826,12,32,7,7,11038,206,475,2.1684210526,95,684,59267,346760,362.0155339806,70305,2881
Player 186,16,39,0.3714285714,2,5,1,0,52,25,9,25,1,6,308,19120,46.512,360,105
Player 187,1,148,0.4077134986,2,20,3,15,165,124,16,41.3333333333,3,11,710,153043,10.2483870968,875,363
Player 188,20,201,0.5476839237,7,10,4,110,605,58,48,5.2727272727,11,54,3956,50980,137.1103448276,4561,367
Player 189,21,333,0.43359375,2,30,2,110,26,338,63,338,0,49,109,322263,0.724260355,135,768
Player 190,348,16220,0.9380602626,16,183,11,110,43075,2109,3499,6.2581602374,337,3546,163545,4192203,92.4179231863,206620,17291
Player 191,9,242,0.8929889299,0,20,3,110,0,121,53,121,0,42,0,156153,0,0,271
Player 192,49,1534,1.0316072629,8,27,7,5,6800,106,207,2.12,50,396,30365,255260,206.541509434,37165,1487
Player 193,117,4166,0.8986194996,11,44,10,110,15746,305,992,2.0608108108,148,892,62915,627006,264.0216393443,78661,4636
Player 194,4,42,0.8076923077,5,2,2,0,152,9,9,1.8,5,9,852,4775,106.2,1004,52
Player 195,20,259,0.7442528736,6,12,2,110,775,49,47,9.8,5,43,4138,74995,104.5102040816,4913,348
Player 196,470,9038,0.9928594969,25,99,9,41,21646,961,1345,2.3212560386,414,2179,101822,1523971,146.3868886576,123468,9103
Player 197,91,1004,0.938317757,15,26,18,9,3317,208,179,3.2,65,244,34340,237845,218.9192307692,37657,1070
Player 198,2,12,0.2068965517,3,2,3,0,16,13,1,4.3333333333,3,1,505,3525,114.5076923077,521,58
Player 199,323,8927,1.0161639158,14,85,12,110,24513,708,1364,2.5652173913,276,1363,135677,1307991,257.2262711864,160190,8785
Player 200,974,30400,1.2046283088,24,200,10,111,92828,2070,4548,2.4909747292,831,5832,334829,4909894,217.0298550725,427657,25236
Player 201,24,270,0.5567010309,6,10,3,0,748,58,35,3.2222222222,18,53,6194,50060,318.6517241379,6942,485
Player 202,287,6598,0.9385490754,11,61,8,39,26891,495,1317,2.9819277108,166,1603,122536,1024615,224.7175757576,149427,7030
Player 203,3,225,1.5957446809,17,8,6,0,803,20,31,1.5384615385,13,28,3576,36635,237.84,4379,141
Player 204,266,9943,1.0096466288,13,148,10,111,29058,1058,2136,3.8754578755,273,2096,117184,2692082,128.7748582231,146242,9848
Player 205,0,316,0.5553602812,0,28,2,110,0,252,63,252,0,96,0,273131,0,0,569
Player 206,0,38,0.6333333333,0,5,1,0,0,20,6,20,0,0,0,21337,0,0,60
Player 207,13,162,0.6923076923,6,5,2,0,706,26,22,2.1666666667,12,33,5766,20655,348.6923076923,6472,234
Player 208,164,4442,0.9562970936,14,50,24,31,14406,521,1001,3.0647058824,170,869,65752,809513,139.930134357,80158,4645
Player 209,296,9066,0.7732196162,13,200,6,113,11980,2462,1570,17.7122302158,139,1350,71737,4905799,26.5766856214,83717,11725
Player 210,18,34,0.2537313433,3,2,2,0,135,22,8,5.5,4,16,1430,6075,157.0636363636,1565,134
Player 211,171,3086,0.9906902087,14,43,10,26,12790,374,400,2.5616438356,146,862,57243,588219,253.392513369,70033,3115
Player 212,108,3219,1.0547182176,15,32,24,3,12156,233,589,2.1376146789,109,447,46449,357180,277.2128755365,58605,3052
Player 213,131,3045,0.9038290294,13,37,8,110,9307,290,519,2.6126126126,111,483,32201,462590,229.98,41508,3369
Player 214,464,11355,0.966876703,13,157,7,111,26867,1266,1472,5.7545454545,220,2329,141132,3083283,92.636492891,167999,11744
Player 215,50,989,0.6384764364,7,23,5,110,3323,149,163,3.4651162791,43,240,18701,202417,192.4751677852,22024,1549
Player 216,59,731,0.4834656085,7,18,6,6,2914,124,174,2.431372549,51,182,17967,137726,324.0338709677,20881,1512
Player 217,679,25258,1.1632126739,18,180,13,111,76251,1510,2984,2.3892405063,632,5295,252838,4070000,222.4358940397,329089,21714
Player 218,439,8597,0.8301467748,15,160,9,111,25913,1880,1370,6.32996633,297,1745,133079,3199428,82.3640425532,158992,10356
Player 219,43,826,0.9249720045,8,18,4,13,3629,68,156,2.72,25,217,17355,127925,281.1264705882,20984,893
Player 220,2,14,0.3181818182,4,1,1,0,38,3,4,3,1,4,277,2680,340.6,315,44
Player 221,4,150,0.5208333333,4,7,10,0,719,17,23,1.3076923077,13,54,3767,30890,308.0823529412,4486,288
Player 222,3,34,0.5762711864,5,2,3,0,134,11,6,1.8333333333,6,7,779,5281,328.8545454545,913,59
Player 223,575,10451,0.6488483268,9,249,13,111,7433,4356,1607,35.4146341463,123,1453,42802,7030030,14.0013774105,50235,16107
Player 224,11,183,0.8433179724,10,7,3,5,775,31,15,3.4444444444,9,53,4958,30745,171.3096774194,5733,217
Player 225,0,277,1.0905511811,7,28,2,110,57,116,47,58,2,29,652,285729,6.6775862069,709,254
Player 226,461,25764,1.3878474467,22,174,17,100,40673,996,3226,2.6631016043,374,2401,237087,3776421,214.4198795181,277760,18564
Player 227,64,1813,0.857615894,9,26,8,9,6282,160,292,1.7021276596,94,400,24226,250710,331.55625,30508,2114
Player 228,26,378,0.8025477707,8,10,4,0,1180,47,98,2.7647058824,17,129,7379,52815,262.4680851064,8559,471
Player 229,108,820,0.9490740741,9,31,2,21,1165,157,131,15.7,10,72,4833,334231,29.1630573248,5998,864
Player 230,5,21,0.2592592593,4,2,1,0,87,7,0,3.5,2,6,721,5060,307.0285714286,808,81
Player 231,18,183,0.3952483801,6,8,12,0,845,46,54,1.84,25,65,4469,38110,249.2086956522,5314,463
Player 232,21,200,1.0416666667,5,8,3,0,780,31,19,4.4285714286,7,31,2750,40795,129.135483871,3530,192
Player 233,231,5539,1.0742823894,15,50,9,10,18549,461,907,2.2378640777,206,822,74042,792117,226.651626898,92591,5156
Player 234,2,251,1.3141361257,12,12,3,0,365,42,59,10.5,4,32,1229,70514,42.4142857143,1594,191
Player 235,231,3586,0.8668116993,12,111,4,111,2752,940,730,33.5714285714,28,497,19420,1736539,18.1972340426,22172,4137
